uses,survival_probability,coherence_factor,fraction_of_ideal_threshold,time_per_use,product_erasure_lower,ghz_lower,best_feasible_lower,adaptive_hybrid_upper,certificate_gap
2,1.0,0.7,1.0,0.35981850700269463,0.5522906843320826,0.48999999999999994,0.5522906843320826,0.9899494936611664,0.43765880932908374
2,1.0,0.9,0.25,0.08995462675067366,0.23420011622727074,0.30997358021572274,0.30997358021572274,0.35116257962903086,0.041188999413308114
2,1.0,0.9,0.5,0.17990925350134732,0.4479221512935572,0.5727564927611035,0.5727564927611035,0.6888301782571616,0.11607368549605812
2,1.0,0.9,0.75,0.26986388025202096,0.6245136546018832,0.7483424213341423,0.7483424213341423,1.0,0.2516575786658577
2,1.0,0.9,1.0,0.35981850700269463,0.7543374576408095,0.81,0.81,1.0,0.18999999999999995
2,1.0,1.0,0.25,0.08995462675067366,0.27326157083651226,0.3826834323650898,0.3826834323650898,0.3901806440322565,0.007497211667166714
2,1.0,1.0,0.5,0.17990925350134732,0.521005383279987,0.7071067811865475,0.7071067811865475,0.7653668647301796,0.0582600835436321
2,1.0,1.0,0.75,0.26986388025202096,0.722527945110619,0.9238795325112867,0.9238795325112867,1.0,0.07612046748871326
2,1.0,1.0,1.0,0.35981850700269463,0.8660254037844387,1.0,1.0,1.0,0.0
3,0.7,0.7,0.25,0.059969751167115774,0.11533167549513773,0.045022323134320426,0.11533167549513773,0.1918735025634758,0.07654182706833806
3,0.7,0.7,0.5,0.11993950233423155,0.22674912388583202,0.08319040569981609,0.22674912388583202,0.3804639963007054,0.15371487241487336
3,0.7,0.7,0.75,0.17990925350134732,0.3307196326006068,0.10869350312042032,0.3307196326006068,0.5625446455766819,0.2318250129760751
3,0.7,0.7,1.0,0.2398790046684631,0.42441573104586017,0.11764899999999995,0.42441573104586017,0.7349999999999999,0.3105842689541397
3,0.7,0.9,0.25,0.059969751167115774,0.15827479742618297,0.09568884421259359,0.15827479742618297,0.24669450329589748,0.08841970586971451
3,0.7,0.9,0.5,0.11993950233423155,0.3096074023600299,0.1768099293153526,0.3096074023600299,0.4891679952437642,0.17956059288373427
3,0.7,0.9,0.75,0.17990925350134732,0.4478489112822458,0.2310133054658497,0.4478489112822458,0.7232716871700197,0.27542277588777386
3,0.7,0.9,1.0,0.2398790046684631,0.5683232387473475,0.25004699999999996,0.5683232387473475,0.9449999999999998,0.37667676125265237
3,0.7,1.0,0.25,0.059969751167115774,0.18261214589157038,0.13126041730122576,0.18261214589157038,0.27410500366210827,0.0914928577705379
3,0.7,1.0,0.5,0.11993950233423155,0.35625011681832786,0.24253762594698572,0.35625011681832786,0.5435199947152936,0.1872698778969657
3,0.7,1.0,0.75,0.17990925350134732,0.5130120565971616,0.3168906796513713,0.5130120565971616,0.8036352079666885,0.2906231513695269
3,0.7,1.0,1.0,0.2398790046684631,0.6469925255314073,0.3429999999999999,0.6469925255314073,1.0,0.3530074744685927
3,0.85,0.7,0.25,0.059969751167115774,0.12916340971562792,0.08061030377511526,0.12916340971562792,0.23298925311279206,0.10382584339716414
3,0.85,0.7,0.5,0.11993950233423155,0.2534912988217692,0.1489484195346926,0.2534912988217692,0.4619919955079995,0.20850069668623034
3,0.85,0.7,0.75,0.17990925350134732,0.36868666140163703,0.19461048864089836,0.36868666140163703,0.6830899267716852,0.3144032653700482
